計罰,總額預定,賠償,工期,延遲,心證,逾期,id,Target
0,1,9,1,0,0,14,153,compensatory
0,2,58,31,0,0,0,154,punitive
0,0,10,3,0,0,0,155,notdefine
0,0,5,2,0,1,33,156,punitive
0,0,1,0,0,3,0,157,notdefine
0,0,1,0,0,3,0,158,compensatory
0,2,18,24,0,0,7,159,compensatory
0,2,18,25,0,0,7,160,compensatory
0,3,37,0,3,0,10,161,compensatory
3,0,10,8,0,1,46,162,punitive
0,0,1,0,0,1,2,163,compensatory
0,6,12,0,0,0,0,164,punitive
1,3,35,29,0,4,43,165,compensatory
0,0,3,0,0,1,1,166,compensatory
0,0,4,10,0,0,16,167,punitive
0,0,14,0,0,3,0,168,compensatory
0,0,3,57,0,0,19,169,compensatory
1,3,22,11,0,0,48,170,punitive
11,0,4,3,0,1,21,171,compensatory
1,0,1,37,0,0,7,172,compensatory
1,1,21,1,0,1,32,173,compensatory
0,0,0,6,0,0,6,174,compensatory
0,0,23,47,0,0,22,175,punitive
0,0,27,10,0,1,40,176,compensatory
1,0,19,6,0,0,7,177,punitive
1,0,1,12,0,1,27,178,compensatory
1,0,24,12,11,0,27,179,compensatory
0,0,18,8,0,0,13,180,compensatory
0,0,16,0,0,0,5,181,compensatory
0,0,7,1,0,2,0,182,compensatory
0,0,19,6,0,0,3,183,punitive
0,14,147,55,14,1,72,184,compensatory
13,0,1,145,7,1,68,185,compensatory
2,0,5,2,0,0,28,186,compensatory
0,0,1,29,0,0,34,187,compensatory
0,0,6,10,0,0,0,188,punitive
0,0,5,0,0,0,11,189,compensatory
0,0,1,0,0,1,20,190,compensatory
6,1,9,4,3,0,34,191,punitive
0,0,5,0,0,0,0,192,compensatory
0,0,0,32,0,0,11,193,compensatory
0,0,5,1,0,0,1,194,compensatory
0,1,8,149,1,0,69,195,compensatory
0,0,5,0,0,1,7,196,compensatory
0,0,1,23,0,0,16,197,punitive
0,0,15,0,0,0,3,198,compensatory
0,3,25,1,1,0,3,199,punitive
0,0,10,0,0,2,0,200,compensatory
3,4,12,165,0,0,67,201,compensatory
0,0,2,0,1,0,0,202,punitive
25,7,52,278,5,1,137,203,punitive
0,0,54,4,0,3,0,204,compensatory
0,0,7,229,0,1,15,205,compensatory
3,0,4,0,0,0,4,206,compensatory
0,0,14,3,2,3,23,207,compensatory
0,0,2,0,0,1,2,208,notdefine
0,0,1,1,0,0,0,209,compensatory
0,0,0,0,0,0,0,210,punitive
0,0,0,0,0,0,0,211,compensatory
1,4,26,4,0,0,24,212,compensatory
1,0,14,33,0,0,37,213,compensatory
3,0,0,61,0,1,34,214,compensatory
7,2,5,41,5,0,39,215,compensatory
0,0,5,0,0,1,20,216,punitive
0,0,6,0,0,1,1,217,punitive
2,0,3,6,0,1,14,218,compensatory
2,0,8,79,0,0,7,219,compensatory
0,0,7,4,0,0,9,220,punitive
0,1,7,0,0,0,0,221,punitive
0,0,12,0,0,0,0,222,compensatory
0,0,2,6,0,1,7,223,punitive
0,0,0,39,0,3,6,224,compensatory
0,0,1,55,0,3,6,225,punitive
0,0,0,11,0,1,8,226,compensatory
0,0,33,13,0,0,8,227,compensatory
2,3,8,38,0,1,41,228,compensatory
0,0,9,0,0,0,3,229,compensatory
0,0,6,17,0,1,4,230,punitive
0,0,0,3,0,0,0,231,compensatory
0,0,0,8,0,2,10,232,punitive
0,1,11,3,0,0,9,233,punitive
1,0,15,6,0,0,23,234,compensatory
29,0,0,82,7,0,40,235,compensatory
0,0,0,1,0,0,0,236,punitive
1,0,0,0,0,1,0,237,compensatory
0,0,22,13,0,1,0,238,compensatory
0,0,17,0,0,0,0,239,compensatory
0,0,0,6,0,0,8,240,punitive
1,0,0,3,0,1,0,241,punitive
3,0,1,92,0,1,45,242,compensatory
0,0,12,26,4,2,10,243,compensatory
0,0,26,2,0,8,4,244,punitive
0,0,21,2,0,4,8,245,punitive
0,0,3,3,0,0,0,246,compensatory
1,3,17,88,3,0,9,247,compensatory
0,0,2,0,0,0,11,248,compensatory
0,0,8,18,0,1,17,249,punitive
1,0,12,7,0,0,20,250,notdefine
0,0,22,166,1,0,51,251,punitive
0,0,22,166,1,0,51,252,compensatory
1,0,0,0,0,0,12,253,compensatory
0,0,3,0,0,0,2,254,compensatory
1,0,27,0,0,0,2,255,punitive
0,0,1,0,0,0,0,256,compensatory
0,0,13,2,0,0,0,257,compensatory
0,0,29,3,0,0,18,258,compensatory
0,0,27,5,0,1,0,259,punitive
4,0,0,39,0,0,30,260,compensatory
0,0,20,0,0,1,15,261,compensatory
0,0,17,14,0,0,50,262,punitive
0,1,11,18,0,0,23,263,punitive
0,0,26,8,0,1,3,264,compensatory
0,0,3,31,0,1,32,265,compensatory
0,0,10,17,1,1,5,266,punitive
96,0,3,14,24,1,71,267,compensatory
0,0,0,4,0,0,3,268,compensatory
0,0,17,29,0,4,29,269,compensatory
0,0,6,3,0,1,6,270,punitive
0,1,5,1,0,0,1,271,notdefine
1,2,17,41,0,0,61,272,punitive
0,0,5,0,0,6,13,273,compensatory
8,0,1,103,0,1,34,274,compensatory
0,0,0,19,0,0,0,275,compensatory
0,0,20,5,0,1,5,276,compensatory
0,0,1,0,0,1,17,277,punitive
0,0,6,3,0,0,1,278,punitive
0,0,7,12,2,1,13,279,compensatory
5,7,56,6,0,0,150,280,notdefine
0,1,7,0,0,1,0,281,punitive
0,0,50,4,0,2,0,282,compensatory
4,0,10,57,1,0,87,283,punitive
0,1,5,30,0,1,17,284,compensatory
1,0,28,44,2,0,33,285,compensatory
2,0,1,1,0,0,11,286,compensatory
0,0,2,9,0,1,24,287,compensatory
0,0,1,31,0,0,8,288,compensatory
0,0,25,38,0,1,35,289,compensatory
0,1,5,10,0,0,0,290,compensatory
5,0,9,13,0,0,33,291,compensatory
0,0,4,0,8,0,1,292,punitive
0,0,4,7,0,0,10,293,notdefine
0,1,5,2,0,1,24,294,punitive
0,0,8,5,0,0,3,295,compensatory
4,0,0,73,6,1,19,296,compensatory
0,0,8,0,0,0,4,297,punitive
3,1,7,82,0,0,25,298,compensatory
0,0,28,23,1,1,25,299,compensatory
0,0,0,14,0,1,7,300,compensatory
0,0,0,33,3,0,9,301,compensatory
0,0,2,0,0,0,0,302,punitive
0,0,1,1,0,0,1,303,compensatory
0,2,30,3,0,1,0,304,compensatory
0,0,0,14,0,3,0,305,compensatory
4,2,19,94,0,1,51,306,compensatory
42,1,23,30,4,0,182,307,compensatory
2,0,12,2,0,0,47,308,compensatory
71,0,11,244,45,1,123,309,compensatory
0,0,0,11,0,1,3,310,punitive
0,0,2,0,0,0,0,311,punitive
0,1,17,8,0,0,16,312,compensatory
0,0,2,26,0,1,0,313,compensatory
0,0,7,8,1,0,26,314,compensatory
0,0,6,46,1,0,50,315,compensatory
7,0,0,62,0,0,42,316,compensatory
0,0,18,0,0,0,1,317,compensatory
0,5,10,0,0,0,1,318,compensatory
3,1,10,100,0,0,23,319,compensatory
2,0,7,8,1,1,22,320,punitive
0,0,23,0,0,0,0,321,compensatory
